"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,45,"arima","infantgts",NA,NA,4909.36477749123,NA,3959.89960682399,3982.69805140504,4415.06595759652,4854.14381336688,3901.35693440282
1,46,"arima","infantgts",NA,NA,4619.43291932856,NA,5168.25197681957,5479.68941183765,5415.05523048377,4584.06223341034,5722.13179333746
1,47,"arima","infantgts",NA,NA,1687.69078597772,NA,1320.8681388256,1315.81267109186,1639.66774877137,1596.99593470651,1337.87437554469
1,48,"arima","infantgts",NA,NA,2215.60545926371,NA,2260.00342572243,2535.27629310974,2374.19643778447,2110.61936774957,2648.65248734014
1,49,"arima","infantgts",NA,NA,1977.41242913217,NA,1853.23750125945,2519.4036479412,1847.65457486014,1905.93987620653,2519.56292917316
2,1,"ets","infantgts",NA,NA,1102.11573434279,NA,595.161353942808,992.822235101705,989.902525994971,1131.34795726812,969.86374784549
2,2,"ets","infantgts",NA,NA,268.314653813089,NA,377.390530785025,267.720761095527,260.902751112092,263.56258461201,263.171692411862
2,3,"ets","infantgts",NA,NA,787.01562727992,NA,233.287537941423,567.080132178862,604.66147558561,856.596251276874,542.999049832679
2,4,"ets","infantgts",NA,NA,342.865954770631,NA,2478.16629229544,323.241510387471,319.050210055782,357.816563400885,314.945225940651
2,5,"ets","infantgts",NA,NA,560.67453510372,NA,2728.27128975803,489.434159197798,475.721827154301,576.28621034711,467.648029174611
2,6,"ets","infantgts",NA,NA,3483.02814060926,NA,1503.11519464436,3426.32989153295,3450.66270743647,3426.97634011876,3412.18951227711
2,7,"ets","infantgts",NA,NA,1069.10625608776,NA,115.747145260844,1094.16105488109,1083.06434862159,1058.03216942624,1078.3823398934
2,8,"ets","infantgts",NA,NA,469.457233467556,NA,162.242343841543,587.418362778398,579.49100795304,426.755894018009,607.431747205557
2,9,"ets","infantgts",NA,NA,1835.74567571928,NA,1447.78843223321,2393.03761712876,2354.80818563751,1611.13880112939,2491.0462654238
2,10,"ets","infantgts",NA,NA,7584.12785969928,NA,7455.80152706284,7769.31183177103,7839.7288503073,7541.01075445513,7880.56269998752
2,11,"ets","infantgts",NA,NA,4881.17675038998,NA,5031.26294617284,5721.10336421965,5595.33733575848,4514.40481223441,5860.8979915439
2,12,"ets","infantgts",NA,NA,6594.39877843625,NA,6448.81459214904,5895.45688281028,6083.91142115319,6853.29356741693,5846.66191993426
2,13,"ets","infantgts",NA,NA,2329.5948056568,NA,2232.28490231184,2287.1788947376,2229.52277615584,2314.43230503343,2256.02322222989
2,14,"ets","infantgts",NA,NA,242.751709151234,NA,261.817399939226,255.001134302328,236.870617806427,240.139155117973,252.18153720463
2,15,"ets","infantgts",NA,NA,1324.45649844037,NA,1791.17947654455,1294.25363811863,1304.07190291976,1329.27426830116,1302.14082573335
2,16,"ets","infantgts",NA,NA,239.485766592845,NA,631.641108859515,333.981952193902,291.084466507135,188.195815109537,346.290881878773
2,17,"ets","infantgts",NA,NA,7798.82300746499,NA,8517.78132920643,6192.32074872341,6628.84602443856,8490.87588521068,6024.19387044583
2,18,"ets","infantgts",NA,NA,188.215270270419,NA,203.594257295319,236.50451484009,232.061789180309,175.667833800056,243.514094643756
2,19,"ets","infantgts",NA,NA,1311.58013584326,NA,1108.90212510723,1152.16827940987,1163.30161865473,1321.09758076948,1113.45112490776
2,20,"ets","infantgts",NA,NA,6873.85931832544,NA,6798.6793730106,6787.73476199806,6774.87069934469,6914.11661586098,6760.35081606636
2,21,"ets","infantgts",NA,NA,382.282883486814,NA,1377.20396822665,389.243852082406,399.517012695584,379.847822145836,410.060186635296
2,22,"ets","infantgts",NA,NA,716.569098475232,NA,2129.04601620629,629.566478101409,666.326570734955,709.252115976069,623.631839737905
2,23,"ets","infantgts",NA,NA,3283.08816213943,NA,1628.90690618194,4088.16322980789,3938.22608228629,3261.89868884143,4237.92409575076
2,24,"ets","infantgts",NA,NA,6899.48739682144,NA,6086.00857430132,8415.14266222488,8487.28890917596,6864.24444985705,8840.24774271178
2,25,"ets","infantgts",NA,NA,6605.56575171814,NA,7836.03426692899,8807.68558103726,8500.94193027175,6537.79883102124,9193.4256392922
2,26,"ets","infantgts",NA,NA,13726.6182709419,NA,16203.9670790092,18013.9816831115,17721.6708495826,13611.3298102499,18814.0543789826
2,27,"ets","infantgts",NA,NA,25276.7413723178,NA,32415.5562861591,34301.5342851221,33797.2540771556,24944.9348087112,36281.2304112373
2,28,"ets","infantgts",NA,NA,51219.4962323821,NA,59096.808540049,59326.7606512588,62170.8989320861,51073.8160338423,60901.4736008883
2,29,"ets","infantgts",NA,NA,43225.5048828211,NA,51860.3123668617,52518.4841187943,50515.4677692655,43012.1720239358,53845.496502682
2,30,"ets","infantgts",NA,NA,20130.4620813484,NA,22190.9456935549,22085.6038897694,21438.0043008434,20092.7247552467,22275.7622943944
2,31,"ets","infantgts",NA,NA,32471.846623129,NA,28324.6900236555,29506.0314582653,39197.1430107497,32442.3364571332,28394.5795520659
2,32,"ets","infantgts",NA,NA,2075.30127411586,NA,1707.0143527228,1156.43879984918,877.828393201559,2019.36476099921,1110.3992054173
2,33,"ets","infantgts",NA,NA,8232.64189233404,NA,12016.6883735736,11034.0170068588,12968.6706580249,8120.82067470182,11679.0381781995
2,34,"ets","infantgts",NA,NA,11369.7540808071,NA,14047.6998338063,12605.9467798899,13128.6277976859,11340.092150585,12805.2563615392
2,35,"ets","infantgts",NA,NA,7782.82891222999,NA,7581.17148113451,7738.87778775635,7029.43614815964,7776.88142860317,7556.81867686885
2,36,"ets","infantgts",NA,NA,4521.29923370325,NA,2712.96140176817,2576.92828362199,2322.52730666782,4386.93004158073,2447.51195855252
2,37,"ets","infantgts",NA,NA,2422.87637785662,NA,2734.80826380105,2481.77135341414,3453.87241004206,2162.5807395373,2939.45322096051
2,38,"ets","infantgts",NA,NA,14574.3407386949,NA,16652.0605537624,16579.727293792,15809.6804886355,14540.2374305475,17104.5321960319
2,39,"ets","infantgts",NA,NA,25152.4182324245,NA,27937.6033667876,26443.4660009056,26179.7564225956,25140.9760381332,25785.7436754285
2,40,"ets","infantgts",NA,NA,11983.3820124025,NA,10793.0249953932,11134.8095512232,10345.4266337239,11975.305747436,10667.5614606053
2,41,"ets","infantgts",NA,NA,1438.08431187401,NA,1565.5106681648,1444.59711225773,1358.66343643284,1433.14651852618,1483.90862605407
2,42,"ets","infantgts",NA,NA,1611.17592796358,NA,1855.24077997788,1689.04880439102,2215.01736136097,1606.37719792463,1737.85645575947
2,43,"ets","infantgts",NA,NA,2536.0989503854,NA,2187.2053933102,2484.82310419299,3253.73331482319,2516.88798295065,2605.99616032249
2,44,"ets","infantgts",NA,NA,650.658062813798,NA,463.133764430267,398.405855188123,484.074439782997,599.446512068916,413.599505426387
2,45,"ets","infantgts",NA,NA,2574.76281078133,NA,2506.03881903794,2401.53119229704,1987.61835074732,2556.19803073795,2245.51133013969
2,46,"ets","infantgts",NA,NA,1784.28287796828,NA,1979.46378405502,1925.97052863712,2509.54779428843,1745.02435413913,2000.35834423745
2,47,"ets","infantgts",NA,NA,4842.03434795208,NA,3550.47469237981,3373.64257303171,2796.40819704294,4683.71555395812,3180.26154745766
2,48,"ets","infantgts",NA,NA,2291.58081669692,NA,1875.24266748708,2146.67858854377,1976.91264620024,2044.10361391257,2211.38025353456
2,1,"arima","infantgts",NA,NA,315.945259558209,NA,378.399588665924,345.329809379847,341.314346511116,281.007078960766,333.039788031695
