"h","iTest","fmethod","sampleSize","mseBase","mseMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,15,"arima",100,14.0393394197581,NA,18.8896628040751,13.9244253080605,13.2150328616055,13.9802034583057,14.0193648229613
1,16,"arima",100,7.53080757736702,NA,5.64178109831795,6.52868847551359,5.01976331661701,6.33948042940109,5.4368757894606
1,17,"arima",100,10.4159602491391,NA,12.3588974863023,10.8477537932379,11.7084039943485,10.8066240350391,11.555125183081
1,18,"arima",100,8.04937545937885,NA,7.63198137144031,8.01154607757199,8.26460194508569,8.08344922545903,8.11791507319601
1,19,"arima",100,1.47851239904865,NA,1.59980050536268,1.57156767228016,1.93758566873726,1.57953534016789,1.8010439156954
1,20,"arima",100,2.03003158976984,NA,1.17552164147311,1.57052263866278,1.07229619573628,1.67007395553789,1.20147741859337
1,21,"arima",100,4.91858910864068,NA,4.6151763844193,5.37372710293831,7.8700341600531,5.26576958204598,6.65954869671659
1,22,"arima",100,27.2057959618346,NA,22.0940280305033,25.5881856656211,23.3149725412246,25.9765525030564,23.8013679198771
1,23,"arima",100,8.36348928820153,NA,9.79128781379191,8.87902577970139,10.3175888072145,8.60137520150651,9.83290673326284
1,24,"arima",100,25.838840791664,NA,25.9898837957779,26.0631786105288,26.4933081128212,25.9687676806945,26.2645072767385
1,25,"arima",100,12.031374196421,NA,9.51333735192783,11.2408792018239,9.95525619767567,11.3692707067818,10.3351882936561
1,26,"arima",100,4.08242410364099,NA,3.7254536256574,3.87543039673094,3.85369139448111,3.98283530774598,3.79516149765037
1,27,"arima",100,0.716860870207874,NA,0.721481869002022,0.443438509354822,0.556669357076967,0.525214488907155,0.502575955335295
1,28,"arima",100,10.4246726445,NA,13.6983993684282,10.7598987384091,11.6017269567751,10.8184996289941,11.5818105281977
1,29,"arima",100,4.35111572763222,NA,5.4335790388136,4.33709817523416,4.25630942094285,4.33815516058198,4.42661736637679
1,30,"arima",100,2.85095156293357,NA,2.82541405471457,2.93563775778831,2.95105314909736,2.77239115983456,2.9192521345211
1,31,"arima",100,7.96294275508205,NA,4.87937024981596,7.08743815841521,5.8480443566937,7.16622865946783,6.12203070009917
1,32,"arima",100,6.64589652747294,NA,6.72023012586093,6.60581618303239,6.56228085477545,6.65542882646607,6.62210924211374
1,33,"arima",100,0.258208052194506,NA,0.251908940301967,0.199206826930926,0.18874072309978,0.218378693592472,0.201962960850174
1,34,"arima",100,0.960059473207122,NA,0.580858951875316,0.82068873794679,0.798754183219862,0.770209667566969,0.721531092776291
1,35,"arima",100,5.11336667993435,NA,6.02648417383822,5.33990094980655,5.48996898124078,5.04473206990961,5.44959746734414
1,36,"arima",100,1.15042205027438,NA,1.98287812444446,1.1051395924098,1.07104319289197,1.04422974308346,1.1700439169578
1,37,"arima",100,38.8146620033768,NA,32.790717086118,37.0482800778514,33.6167878107962,37.0951023151258,34.8557216075291
1,38,"arima",100,15.2223514795177,NA,14.7655298583526,14.6960005002602,14.4213243869729,15.154227387572,14.6367342166102
1,39,"arima",100,10.3319239200181,NA,8.31101565907518,9.91177071979436,9.43243696224874,10.0108251470534,9.43546486367348
1,40,"arima",100,5.27826840109125,NA,5.01810328154455,4.87177804090889,3.91880429684713,5.09649936642806,4.71167674487113
1,41,"arima",100,18.0306186262448,NA,11.8771418984186,16.6014611828254,14.7892191216585,16.5106945954241,14.8398942757307
1,42,"arima",100,1.6925675369547,NA,1.57109372679476,1.52096978748937,1.28228064589935,1.57864396492922,1.44729738239031
1,43,"arima",100,3.83553833396942,NA,2.92001919569817,3.36631837158246,3.30788184987436,3.52112175160626,3.02182678272849
1,44,"arima",100,9.33199690062842,NA,14.6492139185412,10.3993413896702,10.7156269502738,9.99776347907928,12.0793760374726
1,45,"arima",100,50.6713046579858,NA,59.7447705795988,51.6143208116037,54.6059734393707,51.9164205811619,53.8522982638537
