"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,16,"arima","infantgts",NA,NA,738.222003208973,NA,1054.2254144493,621.679527377773,567.927942618631,605.357653914446,605.264098017317
1,17,"arima","infantgts",NA,NA,871.52104417566,NA,1886.17487284944,698.968494673388,711.484073591668,656.462329834725,716.981630022193
1,18,"arima","infantgts",NA,NA,6337.18326911915,NA,6027.07508679642,5801.58157791566,4684.68823922856,5863.0710408044,4801.48320173016
1,19,"arima","infantgts",NA,NA,6979.93078842706,NA,9763.24712061664,6747.67604877164,6068.33094898676,6433.66646838258,6125.08226035528
1,20,"arima","infantgts",NA,NA,2916.83754846797,NA,3405.23481189424,3028.02740871979,3338.9772713964,3000.38434319863,3332.67488622807
1,21,"arima","infantgts",NA,NA,2121.64195839443,NA,4691.42469459131,2170.90490055291,2263.49483731407,2028.82223804008,2220.34893872438
1,22,"arima","infantgts",NA,NA,1683.83002629858,NA,1623.71418871316,1599.39923288278,1491.62670291328,1605.2794446465,1456.88223948428
1,23,"arima","infantgts",NA,NA,980.95858713177,NA,843.007624582216,1019.51383226996,1285.45706674254,922.700363817173,1293.08779625004
1,24,"arima","infantgts",NA,NA,1878.63403723036,NA,5989.31021225734,2123.04227415941,3074.71631596843,1644.34375790301,2982.89447817075
1,25,"arima","infantgts",NA,NA,3491.60851458932,NA,4451.27793782807,3989.21045726107,4957.46018875706,3428.7059713377,5055.33738999495
1,26,"arima","infantgts",NA,NA,1696.39074023931,NA,4207.56748267691,2291.88932398779,3854.02180275448,1552.22164084533,3472.03219542841
1,27,"arima","infantgts",NA,NA,9571.96525066855,NA,10657.2834171555,10069.584128306,11164.3471379768,9552.74112587039,11161.0545114742
1,28,"arima","infantgts",NA,NA,4713.94350985336,NA,8406.90861240989,5361.04801824657,7017.25424937951,4495.45981435837,7235.20130447017
1,29,"arima","infantgts",NA,NA,29251.8516001803,NA,39452.221050216,31673.7776548519,40469.3287491666,29127.0610012988,37589.6977585697
1,30,"arima","infantgts",NA,NA,2792.56779025355,NA,7471.58836420128,3270.707060237,6834.41963722275,2494.00828870187,5133.42608020427
1,31,"arima","infantgts",NA,NA,11923.5338939797,NA,14789.344913652,13042.1717747118,17157.1941996846,11845.0632921358,15846.2958769114
1,32,"arima","infantgts",NA,NA,8245.73892917016,NA,7408.55175589844,7366.6776187828,5632.48824328093,8178.74064013914,5816.14641916827
1,33,"arima","infantgts",NA,NA,4480.46910423853,NA,4604.29710070171,4609.27099677442,5040.62062732812,4431.81877214256,4747.93841590939
1,34,"arima","infantgts",NA,NA,3657.7388480331,NA,4333.93598793094,3913.89152677569,5040.80819117241,3609.61414498737,4687.42061143978
1,35,"arima","infantgts",NA,NA,4040.39713669982,NA,3456.65813481502,4033.74333631488,4209.66624834819,4006.16102298779,4087.95956194551
1,36,"arima","infantgts",NA,NA,2439.21710188452,NA,3423.42371735149,1995.93240158892,1796.98569247431,2182.11690406568,1761.08545497248
1,37,"arima","infantgts",NA,NA,1813.98179674619,NA,1040.8039336771,1094.45218188222,1124.43085702751,1612.31540915573,997.752090783444
1,38,"arima","infantgts",NA,NA,5096.73525608751,NA,5134.44362756436,5116.99997284991,5773.12260344593,5086.47040941728,5116.0835829534
1,39,"arima","infantgts",NA,NA,14112.9585887635,NA,14964.7129005481,14434.2289970815,15818.2682392914,14107.9045535922,15009.6375719883
1,40,"arima","infantgts",NA,NA,7203.60156900225,NA,7468.22955338673,7280.62253548683,7556.25779127472,7201.13350413935,7360.74806855133
1,41,"arima","infantgts",NA,NA,3192.26868932042,NA,2826.38726437408,2978.75958706181,2409.76603540984,3171.92672751113,2628.09086564925
1,42,"arima","infantgts",NA,NA,1412.77550580414,NA,1686.9783715448,1500.35573838581,1775.77461432573,1401.03523920134,1735.50162876253
1,43,"arima","infantgts",NA,NA,438.180430098642,NA,327.598717731351,366.140970949006,358.725909836993,408.296133526286,350.477949486617
1,44,"arima","infantgts",NA,NA,3216.56705045432,NA,3061.44555449689,3175.52324832058,3128.31908090914,3186.656536908,3272.01185306213
1,45,"arima","infantgts",NA,NA,4909.36477749123,NA,3959.89960682399,4410.06992257516,3353.82652571504,4853.1822776324,3906.7259465222
1,46,"arima","infantgts",NA,NA,4619.43291932856,NA,5168.25197681957,4905.66752300652,6429.67281204233,4586.86830474745,5670.8175308282
1,47,"arima","infantgts",NA,NA,1687.69078597772,NA,1320.8681388256,1363.64533789355,1661.44593411287,1596.48221741685,1369.77855187294
1,48,"arima","infantgts",NA,NA,2215.60545926371,NA,2260.00342572243,2195.00270466151,3451.41840849533,2111.05445253986,2742.39170566158
1,49,"arima","infantgts",NA,NA,1977.41242913217,NA,1853.23750125945,2063.93126183244,3628.06677915902,1905.88764174425,2717.58803666669
2,1,"ets","infantgts",NA,NA,1102.11573434279,NA,595.161353942808,1054.56004037661,899.474019925867,1076.3754033721,965.549619379083
2,2,"ets","infantgts",NA,NA,268.314653813089,NA,377.390530785025,266.597931201693,263.793885663022,266.23795294069,268.096448252248
2,3,"ets","infantgts",NA,NA,787.01562727992,NA,233.287537941423,682.990918487516,436.737161047233,729.382089746089,537.387488427494
2,4,"ets","infantgts",NA,NA,342.865954770631,NA,2478.16629229544,335.211874843356,309.834816776919,335.754225127417,315.502838717107
2,5,"ets","infantgts",NA,NA,560.67453510372,NA,2728.27128975803,529.907734502235,433.813808848558,537.005655577907,466.082998274072
2,6,"ets","infantgts",NA,NA,3483.02814060926,NA,1503.11519464436,3472.46524372298,3458.63825567403,3474.50073274732,3460.51796382577
2,7,"ets","infantgts",NA,NA,1069.10625608776,NA,115.747145260844,1081.93397721786,1138.80978610851,1084.9126359682,1127.34257101198
2,8,"ets","infantgts",NA,NA,469.457233467556,NA,162.242343841543,503.895293473803,759.829369622568,499.38234486994,663.894315225876
2,9,"ets","infantgts",NA,NA,1835.74567571928,NA,1447.78843223321,2040.05196939294,2980.07046997823,1936.91137063783,2566.79505017306
2,10,"ets","infantgts",NA,NA,7584.12785969928,NA,7455.80152706284,7648.24245286787,7777.70614783652,7630.29664375039,7830.86359159116
2,11,"ets","infantgts",NA,NA,4881.17675038998,NA,5031.26294617284,5225.35913830183,6384.36119014946,5025.8310141525,5931.18313433798
2,12,"ets","infantgts",NA,NA,6594.39877843625,NA,6448.81459214904,6278.51399387592,5388.7590438689,6455.07319928519,5756.45477711033
2,13,"ets","infantgts",NA,NA,2329.5948056568,NA,2232.28490231184,2308.93796184502,2222.17564425452,2317.76717407797,2271.61992584838
2,14,"ets","infantgts",NA,NA,242.751709151234,NA,261.817399939226,246.829061505798,266.266970250419,243.980039059588,257.453696476189
2,15,"ets","infantgts",NA,NA,1324.45649844037,NA,1791.17947654455,1307.75335906695,1237.73758822603,1319.62925476488,1287.64104655865
2,16,"ets","infantgts",NA,NA,239.485766592845,NA,631.641108859515,259.28755725236,448.88659593516,243.979179567913,358.739885787095
2,17,"ets","infantgts",NA,NA,7798.82300746499,NA,8517.78132920643,7052.03550100081,4834.3472706965,7401.39012212562,5802.47496274332
2,18,"ets","infantgts",NA,NA,188.215270270419,NA,203.594257295319,207.368984471427,258.509152968192,192.380258979771,244.472697965488
2,19,"ets","infantgts",NA,NA,1311.58013584326,NA,1108.90212510723,1248.2715097369,1100.99512417966,1265.40491800895,1123.09096919003
2,20,"ets","infantgts",NA,NA,6873.85931832544,NA,6798.6793730106,6833.23449621851,6767.85524728969,6845.59631639271,6759.98365931008
2,21,"ets","infantgts",NA,NA,382.282883486814,NA,1377.20396822665,379.594658506171,410.073305244536,385.579430890048,403.067605998386
2,22,"ets","infantgts",NA,NA,716.569098475232,NA,2129.04601620629,670.676300033462,612.06278090244,690.508945916654,616.917689269049
2,23,"ets","infantgts",NA,NA,3283.08816213943,NA,1628.90690618194,3583.42218298187,4951.74121694486,3438.13454077588,4269.23032963194
2,24,"ets","infantgts",NA,NA,6899.48739682144,NA,6086.00857430132,7479.78254487318,9741.83589635168,7213.60317004228,8800.82838374131
2,25,"ets","infantgts",NA,NA,6605.56575171814,NA,7836.03426692899,7465.84268166151,10661.6736728633,6951.26194105463,9261.37567561906
2,26,"ets","infantgts",NA,NA,13726.6182709419,NA,16203.9670790092,15369.4360752371,22242.1711440409,13621.3115406116,19270.7407119523
