;;;;;;;;;;;;;;;;;;;;;;Ratios mse/base;;;;;;;;;;;;;;;
dset;h;iTest;fmethod;mseBase;mseBottomUp;mseMinT;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;esBayesFull;esBayesFullPos;esBayes;esBayesPos;;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;;;;;Mean ES;Median ES
infantgts;1;30;ets;3165.454197;7487.857287;NA;4726.636794;4734.42181;4729.000534;4723.212665;4727.470524;5301.384085;5293.893961;5287.52946;5313.502968;5321.948867;236.2706744;235.8869743;264.0247361;264.6513565;;1.493193867;1.495653235;1.493940598;1.492112149;1.493457251;1.674762532;1.672396324;1.670385711;1.678591014;1.681259161;;;;;;
infantgts;1;31;ets;12527.00616;14882.21089;NA;13784.90661;13800.16785;13793.83509;13776.50063;13789.47043;14093.10159;14079.54825;14075.45956;14114.35193;14122.47482;438.3833925;437.6058652;477.9436022;478.7494498;;1.10041509;1.101633356;1.101127828;1.099744061;1.100779408;1.125017535;1.123935605;1.123609215;1.126713897;1.127362327;;;;;;
infantgts;1;32;ets;7344.240796;4094.977289;NA;5102.709789;5111.609254;5117.888608;5096.662241;5101.432024;5192.278713;5187.065514;5187.216188;5203.203747;5206.422038;249.3875828;248.9180087;264.7709946;265.2491314;;0.694790644;0.696002405;0.696857408;0.693967203;0.694616662;0.706986448;0.706276613;0.706297129;0.708474013;0.708912219;;;;;;
infantgts;1;33;ets;4343.715791;6634.300977;NA;4537.18017;4524.664612;4530.188665;4543.137143;4542.876624;5394.64636;5399.825582;5404.862601;5384.279483;5380.554962;240.6448978;240.9550826;275.4549169;275.2789979;;1.044538913;1.041657611;1.042929345;1.045910313;1.045850337;1.241942756;1.243135104;1.244294715;1.239556118;1.238698667;;;;;;
infantgts;1;34;ets;3874.916633;6378.277507;NA;5001.146397;4986.110486;4996.682809;5001.482363;4997.173364;5342.77462;5353.992303;5352.901588;5331.612985;5329.180266;249.4456784;249.3311779;271.3908281;270.8711017;;1.290646192;1.286765873;1.289494274;1.290732895;1.289620871;1.378810211;1.381705159;1.381423678;1.375929727;1.375301915;;;;;;
infantgts;1;35;ets;4283.054967;5483.19407;NA;5072.905239;5054.810703;5067.302133;5076.936338;5071.088204;5149.612849;5158.278688;5161.838259;5137.63843;5133.542515;241.6470116;241.8264647;258.6511653;258.2752163;;1.184412826;1.180188147;1.183104623;1.185354;1.183988588;1.202322382;1.204345666;1.205176749;1.199526616;1.198570309;;;;;;
infantgts;1;36;ets;1940.749771;1745.252579;NA;1872.732542;1865.79057;1868.205575;1866.825622;1866.369546;1892.598572;1895.083005;1896.393213;1888.915679;1887.473746;163.9939269;164.1749538;161.4567507;161.2341846;;0.964953118;0.961376164;0.962620531;0.96190949;0.96167449;0.975189383;0.976469524;0.977144628;0.973291718;0.972548741;;;;;;
infantgts;1;37;ets;2411.288273;1636.16737;NA;1467.413346;1466.102335;1464.942598;1469.145171;1467.052034;1409.627877;1409.353237;1408.840475;1409.706176;1411.572511;154.6538168;154.9117023;144.7088731;144.8609561;;0.608559898;0.608016201;0.607535239;0.609278114;0.608410056;0.584595335;0.584481438;0.584268787;0.584627807;0.585401806;;;;;;
infantgts;1;38;ets;2121.249674;7436.823132;4662.043306;4662.064908;4680.769065;4679.460431;4657.919781;4662.801928;4932.955644;4924.242598;4921.475216;4945.504905;4949.895094;231.368444;231.0147334;251.3973305;251.8303689;;2.197791691;2.206609208;2.205992292;2.195837594;2.198139136;2.325495062;2.321387556;2.320082956;2.331411038;2.333480662;;;;;;
infantgts;1;39;ets;11479.79729;15030.10913;NA;13774.53559;13810.9754;13793.76611;13767.53791;13770.95434;13536.73569;13521.68565;13526.57222;13558.3276;13565.18433;442.2616252;441.3801631;468.8472952;469.7844808;;1.199893625;1.20306788;1.201568787;1.199284061;1.199581665;1.179178982;1.17786798;1.178293647;1.181059844;1.181657131;;;;;;
